Frame;RCC_1_2;QTC_1_2;X_1;Y_1;W_1;H_1;X_2;Y_2;W_2;H_2
1;DR;;208;359;107;73;353;348;112;77
2;DR;ST;208;359;107;73;353;348;112;77
3;DR;ST;208;359;107;73;353;348;112;77
4;DR;ST;208;359;107;73;353;348;112;77
5;DR;ST;208;359;107;73;353;348;112;77
6;DR;ST;208;359;107;73;353;348;112;77
7;DR;ST;208;359;107;73;353;348;112;77
8;DR;ST;208;359;107;73;353;348;112;77
9;DR;ST;208;359;107;73;353;348;112;77
10;DR;ST;208;359;107;73;353;348;112;77
11;DR;ST;208;359;107;73;353;348;112;77
12;DR;ST;208;359;107;73;353;348;112;77
13;DR;ST;208;359;107;73;353;348;112;77
14;DR;ST;208;359;107;73;353;348;112;77
15;DR;ST;208;359;107;73;353;348;112;77
16;DR;ST;208;359;107;73;353;348;112;77
17;DR;ST;208;359;107;73;353;348;112;77
18;DR;ST;208;359;107;73;353;348;112;77
19;DR;ST;208;359;107;73;353;348;112;77
20;DR;ST;208;359;107;73;353;348;112;77
21;DR;ST;208;359;107;73;353;348;112;77
22;DR;ST;208;359;107;73;353;348;112;77
23;DR;ST;208;359;107;73;353;348;112;77
24;DR;ST;208;359;107;73;353;348;112;77
25;DR;ST;208;359;107;73;353;348;112;77
26;DR;ST;208;359;107;73;353;348;112;77
27;DR;ST;208;359;107;73;353;348;112;77
28;DR;ST;208;359;107;73;353;348;112;77
29;DR;ST;208;359;107;73;353;348;112;77
30;DR;ST;208;359;107;73;353;348;112;77
31;DR;ST;208;359;107;73;353;348;112;77
32;DR;ST;208;359;107;73;353;348;112;77
33;DR;ST;208;359;107;73;353;348;112;77
34;DR;ST;208;359;107;73;353;348;112;77
35;DR;ST;208;359;107;73;353;348;112;77
36;DR;ST;208;359;107;73;353;348;112;77
37;DR;ST;208;359;107;73;353;348;112;77
38;DR;ST;208;359;107;73;353;348;112;77
39;DR;ST;208;359;107;73;353;348;112;77
40;DR;ST;208;359;107;73;353;348;112;77
41;DR;ST;208;359;107;73;353;348;112;77
42;DR;ST;208;359;107;73;353;348;112;77
43;DR;ST;208;359;107;73;353;348;112;77
44;DR;ST;208;359;107;73;353;348;112;77
45;DR;ST;208;359;107;73;353;348;112;77
46;DR;ST;208;359;107;73;353;348;112;77
47;DR;ST;208;359;107;73;353;348;112;77
48;DR;ST;208;359;107;73;353;348;112;77
49;DR;ST;208;359;107;73;353;348;112;77
50;DR;ST;208;359;107;73;353;348;112;77
51;DR;ST;211;360;103;68;353;348;112;77
52;DR;ST;211;360;103;68;353;348;112;77
53;DR;ST;211;360;103;68;353;348;112;77
54;DR;ST;211;360;103;68;353;348;112;77
55;DR;ST;211;360;103;68;353;348;112;77
56;DR;ST;211;360;103;68;353;348;112;77
57;DR;ST;211;360;103;68;353;348;112;77
58;DR;ST;211;360;103;68;353;348;112;77
59;DR;ST;211;360;103;68;353;348;112;77
60;DR;ST;211;360;103;68;353;348;112;77
61;DR;ST;211;360;103;68;353;348;112;77
62;DR;ST;211;360;103;68;353;348;112;77
63;DR;ST;211;360;103;68;353;348;112;77
64;DR;ST;211;360;103;68;353;348;112;77
65;DR;ST;211;360;103;68;353;348;112;77
66;DR;ST;211;360;103;68;353;348;112;77
67;DR;ST;211;360;103;68;353;348;112;77
68;DR;ST;211;360;103;68;353;348;112;77
69;DR;ST;211;360;103;68;353;348;112;77
70;DR;ST;211;360;103;68;353;348;112;77
71;DR;ST;211;360;103;68;353;348;112;77
72;DR;ST;211;360;103;68;353;348;112;77
73;DR;ST;213;359;101;67;353;348;112;77
74;DR;ST;214;357;100;68;353;348;112;77
75;DR;ST;215;356;100;66;353;348;112;77
76;DR;ST;216;355;100;65;353;348;112;77
77;DR;ST;217;353;100;65;353;348;112;77
78;DR;ST;219;351;98;65;353;348;112;77
79;DR;ST;221;349;97;65;353;348;112;77
80;DR;ST;222;347;97;64;353;348;112;77
81;DR;AP;223;345;98;62;353;348;112;77
82;DR;AP;224;342;98;62;353;348;112;77
83;DR;AP;226;340;96;61;353;348;112;77
84;DR;AP;228;337;95;61;353;348;112;77
85;DR;AP;230;334;93;61;353;348;112;77
86;DR;AP;232;331;91;61;353;348;112;77
87;DR;AP;233;329;92;59;353;348;112;77
88;DR;AP;235;326;92;59;353;348;112;77
89;DR;AP;237;324;91;59;353;348;112;77
90;DR;AP;239;322;91;58;353;348;112;77
91;DR;AP;241;320;90;57;353;348;112;77
92;DR;AP;244;318;88;57;353;348;112;77
93;DR;AP;247;316;86;57;353;348;112;77
94;DR;AP;250;314;84;57;353;348;112;77
95;DR;AP;252;312;83;57;353;348;112;77
96;DR;AP;254;310;83;58;353;348;112;77
97;DR;AP;257;308;82;59;353;348;112;77
98;DR;AP;262;305;78;63;353;348;112;77
99;DR;AP;266;304;75;64;353;348;112;77
100;DR;AP;270;302;73;67;353;348;112;77
101;DR;AP;245;289;93;57;353;348;112;77
102;DR;AP;249;289;94;56;353;348;112;77
103;DR;AP;253;289;95;56;353;348;112;77
104;DR;AP;257;290;96;53;353;348;112;77
105;DR;AP;261;291;98;51;353;348;112;77
106;DR;AP;266;291;98;51;353;348;112;77
107;DR;AP;271;291;99;50;353;348;112;77
108;DR;AP;276;291;100;49;353;348;112;77
109;DR;AP;281;292;100;47;353;348;112;77
110;DR;AP;287;292;100;48;353;348;112;77
111;DR;AP;292;293;101;48;353;348;112;77
112;DR;AP;298;293;101;50;353;348;112;77
113;DR;AP;303;294;102;50;353;348;112;77
114;DR;AP;308;296;103;49;353;348;112;77
115;DR;AP;314;297;102;50;353;348;112;77
116;DR;AP;318;298;104;50;353;348;112;77
117;DR;AP;323;299;104;50;353;348;112;77
118;DR;AP;328;300;103;51;353;348;112;77
119;DR;AP;331;302;105;50;353;348;112;77
120;DR;AP;335;303;105;51;353;348;112;77
121;DR;AP;338;305;106;51;354;353;109;71
122;DR;AP;341;307;107;51;354;353;109;71
123;DR;AP;344;309;108;51;354;353;109;71
124;DR;AP;347;311;110;53;354;353;109;71
125;DR;AP;349;314;114;53;354;353;109;71
126;DR;AP;353;317;113;52;354;353;109;71
127;DR;AP;356;320;113;51;354;353;109;71
128;DR;AP;358;323;115;51;354;353;109;71
129;DR;AP;361;326;114;51;354;353;109;71
130;DR;AP;365;329;111;50;354;355;110;68
131;DR;AP;368;331;110;50;354;355;110;68
132;DR;AP;370;334;110;48;355;357;110;66
133;DR;AP;372;336;109;47;355;357;110;66
134;DR;AP;373;338;110;46;355;359;111;64
135;DR;AP;374;340;110;45;356;361;110;61
136;DR;AP;374;343;111;43;357;363;109;59
137;DR;AP;375;345;111;42;358;365;108;56
138;DR;AP;375;347;112;42;359;367;107;54
139;PO;AP;375;349;113;42;360;369;106;52
140;PO;AP;375;351;114;41;360;369;106;52
141;PO;AP;364;323;93;59;360;369;106;52
142;PO;AP;364;325;94;59;360;371;107;50
143;PO;AP;364;326;94;60;360;373;108;48
144;PO;AP;364;327;95;61;361;375;107;46
145;PO;AP;364;328;95;62;361;375;107;46
146;PO;AP;365;329;95;63;361;375;107;46
147;PO;AP;366;331;95;62;361;375;107;46
148;PO;AP;366;333;96;61;361;375;107;46
149;PO;AP;366;335;97;59;361;375;107;46
150;PO;AP;366;335;97;59;361;375;107;46
151;PO;AP;366;334;91;48;358;360;102;59
152;PO;AP;367;336;91;47;365;374;95;52
153;PO;AP;368;337;90;48;365;374;95;52
154;PO;AP;369;338;89;49;367;375;92;51
155;PO;AP;370;338;88;52;367;375;92;51
156;PO;AP;370;338;88;54;367;375;92;51
157;PO;AP;370;338;88;57;367;375;92;51
158;PP;AP;370;338;88;57;367;375;92;51
159;PP;AP;370;338;88;57;367;375;92;51
160;PP;AP;369;340;91;55;367;375;92;51
161;PP;AP;369;340;91;55;367;375;92;51
162;PP;AP;369;340;91;55;367;375;92;51
163;PP;AP;369;340;91;55;367;375;92;51
164;PP;AP;369;342;92;53;367;375;92;51
165;PP;AP;369;342;92;53;367;375;92;51
166;PP;AP;369;342;92;53;367;374;93;54
167;PP;AP;369;342;92;53;367;374;93;54
168;PP;ST;369;342;92;53;367;374;93;54
169;PP;ST;369;342;92;53;369;375;91;53
170;PP;ST;369;342;92;55;369;375;91;53
171;PP;ST;369;342;92;55;369;375;91;53
172;PP;ST;369;342;92;55;369;375;91;53
173;PP;ST;369;342;92;55;369;375;91;53
174;PP;ST;369;342;92;55;369;375;91;53
175;PP;ST;369;342;92;55;369;375;91;53
176;PP;ST;369;342;92;55;369;375;91;53
177;PP;ST;369;342;92;55;369;375;91;53
178;PP;ST;369;342;92;55;369;375;91;53
179;PP;ST;369;342;92;55;369;375;91;53
180;PP;ST;369;342;92;55;369;375;91;53
181;PP;ST;369;342;92;55;369;375;91;53
182;PP;ST;369;342;92;55;369;375;91;53
183;PP;ST;369;342;92;55;369;375;91;53
184;PP;ST;369;342;92;55;369;375;91;53
185;PP;ST;369;342;92;55;369;375;91;53
186;PP;ST;369;342;92;55;369;375;91;53
187;PP;ST;369;342;92;55;369;375;91;53
188;PP;ST;369;342;92;55;369;375;91;53
189;PP;ST;369;342;92;55;369;375;91;53
190;PP;ST;369;342;92;55;369;375;91;53
191;PP;ST;369;342;92;55;369;375;91;53
192;PP;ST;369;342;92;55;369;375;91;53
193;PP;ST;369;342;92;55;369;375;91;53
194;PP;ST;369;342;92;55;369;375;91;53
195;PP;ST;369;342;92;55;369;375;91;53
196;PP;ST;369;342;92;55;369;375;91;53
197;PP;ST;369;342;92;55;369;375;91;53
198;PP;ST;369;342;92;55;369;375;91;53
199;PP;ST;369;342;92;55;369;375;91;53
200;PP;ST;369;342;92;55;369;375;91;53
201;PP;ST;367;342;93;46;363;375;95;44
202;PP;ST;367;342;93;46;363;375;95;44
203;PP;ST;367;342;93;46;363;375;95;44
204;PP;ST;367;342;93;46;363;375;95;44
205;PP;ST;367;342;93;46;363;375;95;44
206;PP;ST;367;342;93;46;363;375;95;44
207;PP;ST;367;342;93;46;363;375;95;44
208;PP;ST;367;342;93;46;363;375;95;44
209;PP;ST;367;342;93;46;363;375;95;44
210;PP;ST;367;342;93;46;363;375;95;44
211;PP;ST;367;342;93;46;363;375;95;44
212;PP;ST;367;342;93;46;363;375;95;44
213;PP;ST;367;342;93;46;363;375;95;44
214;PP;ST;367;342;93;46;363;375;95;44
215;PP;ST;367;342;93;46;363;375;95;44
216;PP;ST;367;342;93;46;363;375;95;44
217;PP;ST;367;342;93;46;363;375;95;44
218;PP;ST;367;342;93;46;363;375;95;44
219;PP;ST;367;342;93;46;363;375;95;44
220;PP;ST;367;342;93;46;363;375;95;44
221;PP;ST;367;342;93;46;363;375;95;44
222;PP;ST;367;342;93;46;363;375;95;44
223;PP;ST;367;342;93;46;363;375;95;44
224;PP;ST;367;342;93;46;363;375;95;44
225;PP;ST;367;342;93;46;363;375;95;44
226;PP;ST;367;342;93;46;363;375;95;44
227;PP;ST;367;342;93;46;363;375;95;44
228;PP;ST;367;342;93;46;363;375;95;44
229;PP;ST;367;342;93;46;363;375;95;44
230;PP;ST;367;342;93;46;363;375;95;44
