Frame;RCC;QTC;Bbox;bbox_arr2;bbox_arr3;bbox_arr4;bbox_arr5;bbox_arr6;bbox_arr7;bbox_arr8
1;PP;;365;337;94;52;361;376;101;47
2;PP;ST;365;337;94;52;361;376;101;47
3;PP;ST;365;337;94;52;361;376;101;47
4;PP;ST;365;337;94;52;361;376;101;47
5;PP;ST;365;337;94;52;361;376;101;47
6;PP;ST;365;337;94;52;361;376;101;47
7;PP;ST;365;337;94;52;361;376;101;47
8;PP;ST;365;337;94;52;361;376;101;47
9;PP;ST;365;337;94;52;361;376;101;47
10;PP;ST;365;337;94;52;361;376;101;47
11;PP;ST;365;337;94;52;361;376;101;47
12;PP;ST;365;337;94;52;361;376;101;47
13;PP;ST;365;337;94;52;361;376;101;47
14;PP;ST;365;337;94;52;361;376;101;47
15;PP;ST;365;337;94;52;361;376;101;47
16;PP;ST;365;337;94;52;361;376;101;47
17;PP;ST;365;337;94;52;361;376;101;47
18;PP;ST;365;337;94;52;361;376;101;47
19;PP;ST;365;337;94;52;361;376;101;47
20;PP;ST;365;337;94;52;361;376;101;47
21;PP;ST;365;337;94;52;361;376;101;47
22;PP;ST;365;337;94;52;361;376;101;47
23;PP;ST;365;337;94;52;361;376;101;47
24;PP;ST;365;337;94;52;361;376;101;47
25;PP;ST;365;337;94;52;361;376;101;47
26;PP;ST;365;337;94;52;361;376;101;47
27;PP;ST;365;337;94;52;361;376;101;47
28;PP;ST;365;337;94;52;361;376;101;47
29;PP;ST;365;337;94;52;361;376;101;47
30;PP;ST;365;337;94;52;361;376;101;47
31;PP;ST;365;337;94;52;361;376;101;47
32;PP;ST;365;337;94;52;361;376;101;47
33;PP;ST;365;337;94;52;361;376;101;47
34;PP;ST;365;337;94;52;361;376;101;47
35;PP;ST;365;337;94;52;361;376;101;47
36;PP;ST;365;337;94;52;361;376;101;47
37;PP;ST;365;337;94;52;361;376;101;47
38;PP;ST;365;337;94;52;361;376;101;47
39;PP;ST;365;337;94;52;361;376;101;47
40;PP;ST;365;337;94;52;361;376;101;47
41;PP;ST;365;337;94;52;361;376;101;47
42;PP;ST;365;337;94;52;361;376;101;47
43;PP;ST;365;337;94;52;361;376;101;47
44;PP;ST;365;337;94;52;361;376;101;47
45;PP;ST;365;337;94;52;361;376;101;47
46;PP;ST;365;337;94;52;361;376;101;47
47;PP;ST;365;337;94;52;361;376;101;47
48;PP;ST;365;337;94;52;361;376;101;47
49;PP;ST;365;337;94;52;361;376;101;47
50;PP;ST;365;337;94;52;361;376;101;47
51;PP;ST;365;337;94;52;361;376;101;47
52;PP;ST;365;337;94;52;361;376;101;47
53;PP;ST;365;337;94;52;361;376;101;47
54;PP;ST;365;337;94;52;361;376;101;47
55;PP;ST;365;337;94;52;361;376;101;47
56;PP;ST;365;337;94;52;361;376;101;47
57;PP;ST;365;337;94;52;361;376;101;47
58;PP;ST;365;337;94;52;361;376;101;47
59;PP;ST;365;337;94;52;361;376;101;47
60;PP;ST;365;337;94;52;361;376;101;47
61;PP;ST;362;336;94;54;361;376;101;47
62;PP;ST;362;336;94;54;361;376;101;47
63;PP;ST;362;336;94;54;361;376;101;47
64;PP;ST;362;336;94;54;361;376;101;47
65;PP;ST;362;336;94;54;361;376;101;47
66;PP;ST;362;336;94;54;361;376;101;47
67;PP;ST;362;336;94;54;361;376;101;47
68;PP;ST;362;336;94;54;361;376;101;47
69;PP;ST;362;336;94;54;361;376;101;47
70;PP;ST;362;336;94;54;362;369;98;51
71;PP;ST;362;336;94;54;362;369;98;51
72;PP;ST;362;336;94;54;362;366;98;57
73;PO;ST;363;334;93;56;362;366;98;57
74;PO;ST;364;332;93;57;362;366;98;57
75;PO;DE;365;330;92;58;363;364;97;61
76;PO;DE;366;328;91;58;363;361;97;66
77;PO;DE;366;326;91;56;364;357;96;73
78;PO;DE;366;324;91;54;365;353;95;80
79;PO;DE;366;322;90;52;351;362;109;60
80;PO;DE;361;316;91;45;362;364;94;57
81;PO;DE;359;314;92;43;356;358;107;63
82;PO;DE;358;313;90;40;356;358;107;63
83;PO;DE;357;312;88;37;356;358;107;63
84;DR;DE;355;311;88;33;355;358;111;64
85;DR;DE;343;293;97;63;355;358;111;64
86;DR;DE;341;292;96;62;355;358;111;64
87;DR;DE;338;292;96;60;355;358;111;64
88;DR;DE;335;292;96;59;355;358;111;64
89;DR;DE;332;292;96;58;355;358;111;64
90;DR;DE;329;293;96;56;355;358;111;64
91;DR;DE;326;294;95;54;355;349;114;73
92;DR;DE;322;294;95;54;355;349;114;73
93;DR;DE;318;295;95;54;355;349;114;73
94;DR;DE;314;297;95;53;355;349;114;73
95;DR;DE;310;299;94;53;355;349;114;73
96;DR;DE;306;301;93;54;355;349;114;73
97;DR;DE;302;303;93;55;355;349;114;73
98;DR;DE;297;306;95;55;355;349;114;73
99;DR;DE;293;308;95;57;355;349;114;73
100;DR;DE;289;310;96;59;355;349;114;73
101;DR;DE;279;305;95;60;355;349;114;73
102;DR;DE;276;307;95;61;355;349;114;73
103;DR;DE;273;309;95;62;355;349;114;73
104;DR;DE;270;311;95;64;355;349;114;73
105;DR;DE;267;313;95;65;355;349;114;73
106;DR;DE;265;315;94;66;355;349;114;73
107;DR;DE;263;317;94;67;355;349;114;73
108;DR;DE;261;319;94;68;355;349;114;73
109;DR;DE;259;321;94;68;355;349;114;73
110;DR;DE;257;324;94;66;355;349;114;73
111;DR;DE;255;326;94;66;355;349;114;73
112;DR;DE;253;328;94;67;355;349;114;73
113;DR;DE;251;330;95;68;355;349;114;73
114;DR;DE;250;332;95;70;355;349;114;73
115;DR;DE;249;334;95;72;355;349;114;73
116;DR;DE;248;336;95;73;355;349;114;73
117;DR;DE;246;338;96;74;355;349;114;73
118;DR;DE;245;340;96;75;355;349;114;73
119;DR;DE;244;342;96;76;355;349;114;73
120;DR;DE;243;344;96;77;355;349;114;73
121;DR;DE;242;346;97;78;355;349;114;73
122;DR;DE;241;348;98;79;355;349;114;73
123;DR;DE;241;350;98;80;355;349;114;73
124;DR;DE;241;352;98;81;355;349;114;73
125;DR;DE;241;354;98;81;355;349;114;73
126;DR;DE;241;355;98;83;355;349;114;73
127;DR;DE;232;344;98;75;355;349;114;73
128;DR;DE;233;345;97;76;355;349;114;73
129;DR;DE;233;347;97;76;355;349;114;73
130;DR;DE;233;349;97;76;355;349;114;73
131;DR;DE;233;351;97;76;355;349;114;73
132;DR;DE;233;352;97;77;355;349;114;73
133;DR;DE;233;354;98;76;355;349;114;73
134;DR;DE;233;354;98;76;355;349;114;73
135;DR;ST;233;354;98;76;355;349;114;73
136;DR;ST;233;354;98;76;355;349;114;73
137;DR;ST;233;354;98;76;355;349;114;73
138;DR;ST;233;354;98;76;355;349;114;73
139;DR;ST;233;354;98;76;355;349;114;73
140;DR;ST;233;354;98;76;355;349;114;73
141;DR;ST;233;354;98;76;355;349;114;73
142;DR;ST;233;354;98;76;355;349;114;73
143;DR;ST;233;354;98;76;355;349;114;73
144;DR;ST;233;354;98;76;355;349;114;73
145;DR;ST;233;354;98;76;355;349;114;73
146;DR;ST;233;354;98;76;355;349;114;73
147;DR;ST;233;354;98;76;355;349;114;73
148;DR;ST;233;354;98;76;355;349;114;73
149;DR;ST;233;354;98;76;355;349;114;73
150;DR;ST;233;354;98;76;355;349;114;73
151;DR;ST;228;356;101;75;355;349;114;73
152;DR;ST;228;356;101;75;355;349;114;73
153;DR;ST;228;356;101;75;355;349;114;73
154;DR;ST;228;356;101;75;355;349;114;73
155;DR;ST;228;356;101;75;355;349;114;73
156;DR;ST;228;356;101;75;355;349;114;73
157;DR;ST;228;356;101;75;355;349;114;73
158;DR;ST;228;356;101;75;355;349;114;73
159;DR;ST;228;356;101;75;355;349;114;73
160;DR;ST;228;356;101;75;355;349;114;73
161;DR;ST;228;356;101;75;355;349;114;73
162;DR;ST;228;356;101;75;355;349;114;73
163;DR;ST;228;356;101;75;355;349;114;73
164;DR;ST;228;356;101;75;355;349;114;73
165;DR;ST;228;356;101;75;355;349;114;73
166;DR;ST;228;356;101;75;355;349;114;73
167;DR;ST;228;356;101;75;355;349;114;73
168;DR;ST;228;356;101;75;355;349;114;73
169;DR;ST;228;356;101;75;355;349;114;73
170;DR;ST;228;356;101;75;355;349;114;73
