frame;[[1, 2], [1, 3], [2, 3]]
1;['DR', 'DR', 'DR']
2;['DR', 'DR', 'DR']
3;['DR', 'DR', 'DR']
4;['DR', 'DR', 'DR']
5;['DR', 'DR', 'DR']
6;['DR', 'DR', 'DR']
7;['DR', 'DR', 'DR']
8;['DR', 'DR', 'DR']
9;['DR', 'DR', 'DR']
10;['DR', 'DR', 'DR']
11;['DR', 'DR', 'DR']
12;['DR', 'DR', 'DR']
13;['DR', 'DR', 'DR']
14;['DR', 'DR', 'DR']
15;['DR', 'DR', 'DR']
16;['DR', 'DR', 'DR']
17;['DR', 'DR', 'DR']
18;['DR', 'DR', 'DR']
19;['DR', 'DR', 'DR']
20;['DR', 'DR', 'DR']
21;['DR', 'DR', 'DR']
22;['DR', 'DR', 'DR']
23;['DR', 'DR', 'DR']
24;['DR', 'DR', 'DR']
25;['DR', 'DR', 'DR']
26;['DR', 'DR', 'DR']
27;['DR', 'DR', 'DR']
28;['DR', 'DR', 'DR']
29;['DR', 'DR', 'DR']
30;['DR', 'DR', 'DR']
31;['DR', 'DR', 'DR']
32;['DR', 'DR', 'DR']
33;['DR', 'DR', 'DR']
34;['DR', 'DR', 'DR']
35;['DR', 'DR', 'DR']
36;['DR', 'DR', 'DR']
37;['DR', 'DR', 'DR']
38;['DR', 'DR', 'DR']
39;['DR', 'DR', 'DR']
40;['DR', 'DR', 'DR']
41;['DR', 'DR', 'DR']
42;['DR', 'DR', 'DR']
43;['DR', 'DR', 'DR']
44;['DR', 'DR', 'DR']
45;['DR', 'DR', 'DR']
46;['DR', 'DR', 'DR']
47;['DR', 'DR', 'DR']
48;['DR', 'DR', 'DR']
49;['DR', 'DR', 'DR']
50;['DR', 'DR', 'DR']
51;['DR', 'DR', 'DR']
52;['DR', 'DR', 'DR']
53;['DR', 'DR', 'DR']
54;['DR', 'DR', 'DR']
55;['DR', 'DR', 'DR']
56;['DR', 'DR', 'DR']
57;['DR', 'DR', 'DR']
58;['DR', 'DR', 'DR']
59;['DR', 'DR', 'DR']
60;['DR', 'DR', 'DR']
61;['DR', 'DR', 'DR']
62;['DR', 'DR', 'DR']
63;['DR', 'DR', 'DR']
64;['DR', 'DR', 'DR']
65;['DR', 'DR', 'DR']
66;['DR', 'DR', 'DR']
67;['DR', 'DR', 'DR']
68;['DR', 'DR', 'DR']
69;['DR', 'DR', 'DR']
70;['DR', 'DR', 'DR']
71;['DR', 'DR', 'DR']
72;['DR', 'DR', 'DR']
73;['DR', 'DR', 'DR']
74;['DR', 'DR', 'DR']
75;['DR', 'DR', 'DR']
76;['DR', 'DR', 'DR']
77;['DR', 'DR', 'DR']
78;['DR', 'DR', 'DR']
79;['DR', 'DR', 'DR']
80;['DR', 'DR', 'DR']
81;['DR', 'DR', 'DR']
82;['DR', 'DR', 'DR']
83;['DR', 'DR', 'DR']
84;['DR', 'DR', 'DR']
85;['DR', 'DR', 'DR']
86;['DR', 'DR', 'DR']
87;['DR', 'DR', 'DR']
88;['DR', 'DR', 'DR']
89;['DR', 'DR', 'DR']
90;['DR', 'DR', 'DR']
91;['DR', 'DR', 'DR']
92;['DR', 'DR', 'DR']
93;['DR', 'DR', 'DR']
94;['DR', 'DR', 'DR']
95;['DR', 'DR', 'DR']
96;['DR', 'DR', 'DR']
97;['DR', 'DR', 'DR']
98;['DR', 'DR', 'DR']
99;['DR', 'DR', 'DR']
100;['DR', 'DR', 'DR']
101;['DR', 'DR', 'DR']
102;['DR', 'DR', 'DR']
103;['DR', 'DR', 'DR']
104;['DR', 'DR', 'DR']
105;['DR', 'DR', 'DR']
106;['DR', 'DR', 'DR']
107;['DR', 'DR', 'DR']
108;['DR', 'DR', 'DR']
109;['DR', 'DR', 'DR']
110;['DR', 'DR', 'DR']
111;['DR', 'DR', 'DR']
112;['DR', 'DR', 'DR']
113;['DR', 'DR', 'DR']
114;['DR', 'DR', 'DR']
115;['DR', 'DR', 'DR']
116;['DR', 'DR', 'DR']
117;['DR', 'DR', 'DR']
118;['DR', 'DR', 'DR']
119;['DR', 'DR', 'DR']
120;['DR', 'DR', 'DR']
121;['DR', 'DR', 'DR']
122;['DR', 'DR', 'DR']
123;['DR', 'DR', 'DR']
124;['DR', 'DR', 'DR']
125;['DR', 'DR', 'DR']
